,,Данные по общеобразовательным школам Ыссык-Кульской области,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"№ 
п/п",Наименование школы,Адрес школы,Ф.И.О директора,"Числен-сть 
учащихся","Числен-ть 
учителей","Объем финансовых средств на 2014 год, в том числе:",,,"Наличие 
попечительских 
советов",,,,,,,
,,,,,,Всего,"Республик.
бюджет","Местный
бюджет",,,,,,,,
,Тюпский  район,,,,,,,,,,,,,,,
25,№20 сш им. Ж. Ашымова,"с. Арал, ул. Кенжебаев, 26","Жаныбаева  Гулжамал  Акуновна 
 0777 733713",373,29,4151.0,3928.0,223.0,+,,3976.0,48,3928.0,,,
26,№21 сш им. К. Карачева,"с.Сары-Добо, ул. Ынтымака, 56.","Букаев Абдыкерим Бектенович 
0777 650264",343,39,4196.5,4008.8,187.7, -,,4056.8,48,4008.8,,,
27,№22 сш им. К. Уметалиева,"с. Долон, ул. Ырысалиева, 46.","Тынаева Мария Өмуркановна 
0773 963004",206,24,2864.7,2745.4,119.3, -,,2793.4,48,2745.4,,,
28,№ сш им И. Касмалиева,"с. Мин-Булак, ул. Турдуке уулу Азиз, 22.","Жээнбаев  Кадырбек  Бейшеевич 
0778 900604",121,21,2148.5,2079.9,68.6, -,,2127.9,48,2079.9,,,
29,№34 нсш им. Ш. Тезекова,"с. Кош-Добо, ул. Токсобаева, б/н","Мукамбетов Жоомарт Усенович 
0773 804524",47,7,854.9,834.7,20.2, -,,882.7,48,834.7,,,
30,№23 сш им. Ж. Асаналиева,"с. Тогуз-Булак, ул. Ленина, 15.","Жамгырчиева Нурила Турсуновна 
0708 662198",229,22,3174.3,2853.6,320.7, -,,2901.6,48,2853.6,,,
31,№30 сш им Ш. Тагаева,"с. Сары-Булун, ул. Шопокова, 68.","Олонбаева Бактыгүл Кудайбергеновна 
0779 235343",128,18,2304.9,2214.4,90.5, -,,2262.4,48,2214.4,,,
32,№24 сш им. Э. Мамырканова,"с.Иссык-Куль, ул. Парковая, б-н.","Абдулаева Анара Сапаровна 
0550 760012",300,29,3703.3,3656.0,47.3, - ,,3704.0,48,3656.0,,,
33,№31 сш Ынтымак,"с. Ынтымак, ул. Ленина, 34.","Идрисова Айнура  Ильясовна 
0773 616720",126,16,2099.8,2025.0,74.8, -,,2073.0,48,2025.0,,,
34,№25 сш им. Т. Шевченко,"с. Михайловка, ул. Иссык-Кульская, б/н","Дикамбаева Суйумкан Жанышовна 
0773 329746",618,45,7590.6,7142.0,448.6, -,,7190.0,48,7142.0,,,
35,№28 нсш им. Ж. Асылбаева,"с. Санташ, ул. Санташ, 1.","Дуйшеев  Кемел  Кадырович 
0554 059703",46,14,2605.8,2458.7,147.1, -,,2193.4,48.4,2145.0,,,
,"Итого по школам 
Тюпского района", х,х,11562,1015,142504.1,135607.3,6896.8,"4 "" +"" 
31 ""-""",,136974.0,1680.4,135293.6,,,
,Город   Балыкчы,,,,,,,,,,,,,,,
1,Гимназия №1 имени Л.Н.Толстого,ул.Калинина 25,Мамытова Жипара,1235,55,13578.1,11154.7,2423.4,                       +,,,,,,,
,,,Болотбековна,,,,,,,,,,,,,
2,Сш № 2 имени Ж.Боконбаева,ул.Фрунзе 266,Осмонова  Асель,373,26,4401.2,3886.6,514.6,                       -,,,,,,,
,,,Токтомамбетовна,,,,,,,,,,,,,
3,Сш № 3 имени А.С.Макаренко,ул.Калдыбаева 26,Карабакирова Нургуль,1018,51,7845.3,7259.6,585.7,                       +,,,,,,,
,,,Толоновна,,,,,,,,,,,,,
4,Гимназия № 4,ул. Орозбаева 66,Акулуева Бурулуш ,1120,59,10694.4,9992.4,702.0,                       -,,,,,,,
,,,Кемеловна,,,,,,,,,,,,,
5,Сш № 5 имени Ч.Т.Айтматова,ул.Кулакунова 12,Асанова Кулумкан ,1081,59,9518.3,8708.4,809.9,                       -,,,,,,,
,,,Конокбаевна,,,,,,,,,,,,,
6,"Школа лицей №6 гум.профиля 
имени С Каралаева",ул. Аманбаева 166,Абдыкеримова Канчайым ,490,28,6879.5,5572,1307.5,                       -,,,,,,,
,,,Абдыкеримовна,,,,,,,,,,,,,
7,Сш № 7 имени Калыгул Бай уулу,ул.Каралаева 126,Ашымов Жакшылык,404,27,4347.7,4012.1,335.6,                       -,,,,,,,
,,,Асанбекович,,,,,,,,,,,,,
8,Сш № 8 имени К.Жакыпова,ул. Фрунзе 72,Шамырканова Айнагуль,438,26,3948.3,3632.5,315.8,                       -,,,,,,,
,,,Асановна,,,,,,,,,,,,,
9,Сш № 9 им Н.Крупской,ул. Калинина 12,Чылакунова Ажаркул,248,23,2865.6,2627.5,238.1,                       -,, ,,,,,
,,,Камчыбековна,,,,,,,,,,,,,
10,Сш № 10 имени Манаса,ул. Фрунзе 266,Эркинбаева Жаныл ,570,38,6141.2,5317.4,823.8,                       -,,,,,,,
,,,Майрамбековна,,,,,,,,,,,,,
,Итого школ по г. Балыкчы:,,,6977,392,70219.6,62163.2,8056.4,"  2  ""+""  
 8 ""-""",,,,,,,
,г.Каракол,,,,,,,,,,,,,,,
1,сш №1,ул.Коенкозова 16,"Асанбаева Салия Джапаралиевна
0778911931",1869,90,17606,12254.4,5351.6,"""+""",,,,,,,
2,сш №2,ул.Абдрахманова 88,"Давлетова Динара Курбановна
0779300340",1047,62,11305.5,8055.2,3250.3,"""+""",,,,,,,
3,сш №3,ул.Токтогула 145,"Байгазиева Бактыгуль Байгазиевна
0772103284",1347,80,14604.1,11584.5,3019.6,"""+""",,,,,,,
4,сш №4,ул.Дюшеева 84,"Усенова Назира Таштандиевна
0770392330",578,53,9846.4,6467,3379.4,"""+""",,,,,,,
5,сш №5,ул.Алдашева 59,"Алышбаева Анара Турдакуновна
0703422995",760,50,6880.3,6229.8,650.5,"""+""",,,,,,,
6,сш №6,ул.Мичурина 1,"Масимов  Таалай Кенешович
0559093235",1483,73,13873.5,10249.6,3623.9,"""+""",,,,,,,
7,сш №7,ПГТ.Пристань-Пржевальск  ул. Пржевальская 30,"Ахмедова Галина Владимировна
0777120421",319,22,5483.9,3338.6,2145.3,"""+""",,,,,,,
8,сш №9,ул.Гречко 29,"Сыдыкбекова Айнагуль Турдакуновна
0555728385",638,54,9354.7,5131.9,4222.8,"""+""",,,,,,,
9,сш №11,ул.Тыныстанова 47,"Осмоналиева  Гулиза Осмоналиевна
0773498772",1827,78,13975.8,13015.0,960.8,"""+""",,,,,,,
10,сш №14,ул.Карасаева 235,"Абдиева Асылгул Кубатаевна
0772859247",419,30,8277.6,4471.8,3805.8,"""+""",,,,,,,
11,сш №15,"м/н ""Восход""","Темирбеков Табылды Кадырович
0551401701",462,38,5341.1,3733.3,1607.8,"""+""",,,,,,,
,Итого по школам г.Каракол:,,,10749,630,116548.9,84531.1,32017.8,"11 ""+""",,,,,,,
,Жети Огузский РайОО,,,,,,,,,,,,,,,
1, СШ Тосор ,с.Тосор ул.А.Сулайманов №4,"Баратбаева Индира 
тел 0778 17-62-27",463,47,6012.9,4813.3,1199.6,-,,,,,,,
2,СШ Тамга,с.Тамга ул.Докомбаев ,"Самиева Тамара Кожоевна 
тел.0773 20-07-76",679,52,8665.4,7015.9,1649.5,-,,,,,,,
3,СШ им Э.Кендирбаева,с.Браскоон ул.Эшмамбет №159,"Тойгонбаев Тынчтыкбек Амантурович 
тел,0773 15-21-47",1534,116,14148.9,12749.2,1399.7,+,,,,,,,
4,СШ Чон-Жаргылчак,с.Чон-Жаргылчак ул.У.Желден  №4,"Байтиков Замир Итемирович 
тел. 0772 25-62-02",198,21,3188.6,2679.7,508.9,-,,,,,,,
5,СШ Мендебаева ,с.Кичи-Жаргылчак ,"Акунова Рапиза 
тел.0553-96-17-00",252,26,3420.8,2889.1,531.7,-,,,,,,,
6,СШ Т.Мурзабекова,с.Кичи-Жаргылчак ул.Керимкулова №8,"Конокбаев Эсентур Абдыразакович 
тел.077 05-35-03",418,33,5589.3,4677.4,911.9,-,,,,,,,
7,СШ Ж.Жунушев,с.Ак-Терек ул.Сатыке №11,"Тогузаков Канат 
тел.0554 83-80-42",685,45,6749.7,6176.4,573.3,-,,,,,,,
